Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Step 1: Open login page,702,242,222,255,287,1253,194,1283,0.000%,7.00487,11.12,2.12
Step 2: Log In,701,8051,6536,17036,19368,22506,457,23826,0.000%,6.28942,117.67,5.69
Step 3: Post location info,625,40,38,44,49,115,33,226,0.000%,6.30250,20.66,3.88
Step 4: Home page data,625,90,83,118,133,220,60,370,0.000%,6.30053,114.01,3.35
Step 5: Open new client creation page,624,84,74,109,136,235,60,427,0.000%,6.29928,99.03,3.43
Step 6: New client created,623,88,79,115,144,265,62,478,0.000%,6.29592,72.50,15.46
TOTAL,3900,1539,90,5539,11238,19092,33,23826,0.000%,34.91214,399.00,30.74
